[bwa_index] Pack FASTA... 202.57 sec
[bwa_index] Construct BWT for the packed sequence...
[BWTIncConstructFromPacked] 2290 iterations done. 22900000000 characters processed.
[BWTIncConstructFromPacked] 2300 iterations done. 23000000000 characters processed.
[BWTIncConstructFromPacked] 2310 iterations done. 23100000000 characters processed.
[BWTIncConstructFromPacked] 2320 iterations done. 23200000000 characters processed.
[BWTIncConstructFromPacked] 2330 iterations done. 23300000000 characters processed.
[BWTIncConstructFromPacked] 2340 iterations done. 23400000000 characters processed.
[BWTIncConstructFromPacked] 2350 iterations done. 23500000000 characters processed.
[BWTIncConstructFromPacked] 2360 iterations done. 23600000000 characters processed.
[BWTIncConstructFromPacked] 2370 iterations done. 23700000000 characters processed.
[BWTIncConstructFromPacked] 2380 iterations done. 23800000000 characters processed.
[BWTIncConstructFromPacked] 2390 iterations done. 23900000000 characters processed.
[BWTIncConstructFromPacked] 2400 iterations done. 24000000000 characters processed.
[BWTIncConstructFromPacked] 2410 iterations done. 24100000000 characters processed.
[BWTIncConstructFromPacked] 2420 iterations done. 24200000000 characters processed.
[BWTIncConstructFromPacked] 2430 iterations done. 24300000000 characters processed.
[BWTIncConstructFromPacked] 2440 iterations done. 24400000000 characters processed.
[BWTIncConstructFromPacked] 2450 iterations done. 24500000000 characters processed.
[BWTIncConstructFromPacked] 2460 iterations done. 24600000000 characters processed.
[BWTIncConstructFromPacked] 2470 iterations done. 24700000000 characters processed.
[BWTIncConstructFromPacked] 2480 iterations done. 24800000000 characters processed.
[BWTIncConstructFromPacked] 2490 iterations done. 24900000000 characters processed.
[BWTIncConstructFromPacked] 2500 iterations done. 25000000000 characters processed.
[BWTIncConstructFromPacked] 2510 iterations done. 25100000000 characters processed.
[BWTIncConstructFromPacked] 2520 iterations done. 25200000000 characters processed.
[BWTIncConstructFromPacked] 2530 iterations done. 25300000000 characters processed.
[BWTIncConstructFromPacked] 2540 iterations done. 25400000000 characters processed.
[BWTIncConstructFromPacked] 2550 iterations done. 25500000000 characters processed.
[BWTIncConstructFromPacked] 2560 iterations done. 25600000000 characters processed.
[BWTIncConstructFromPacked] 2570 iterations done. 25700000000 characters processed.
[BWTIncConstructFromPacked] 2580 iterations done. 25800000000 characters processed.
[BWTIncConstructFromPacked] 2590 iterations done. 25900000000 characters processed.
[BWTIncConstructFromPacked] 2600 iterations done. 26000000000 characters processed.
[BWTIncConstructFromPacked] 2610 iterations done. 26100000000 characters processed.
[BWTIncConstructFromPacked] 2620 iterations done. 26200000000 characters processed.
[BWTIncConstructFromPacked] 2630 iterations done. 26300000000 characters processed.
[BWTIncConstructFromPacked] 2640 iterations done. 26400000000 characters processed.
[BWTIncConstructFromPacked] 2650 iterations done. 26500000000 characters processed.
[BWTIncConstructFromPacked] 2660 iterations done. 26600000000 characters processed.
[BWTIncConstructFromPacked] 2670 iterations done. 26700000000 characters processed.
[BWTIncConstructFromPacked] 2680 iterations done. 26800000000 characters processed.
[BWTIncConstructFromPacked] 2690 iterations done. 26900000000 characters processed.
[BWTIncConstructFromPacked] 2700 iterations done. 27000000000 characters processed.
[BWTIncConstructFromPacked] 2710 iterations done. 27100000000 characters processed.
[BWTIncConstructFromPacked] 2720 iterations done. 27200000000 characters processed.
[BWTIncConstructFromPacked] 2730 iterations done. 27300000000 characters processed.
[BWTIncConstructFromPacked] 2740 iterations done. 27400000000 characters processed.
[BWTIncConstructFromPacked] 2750 iterations done. 27500000000 characters processed.
[BWTIncConstructFromPacked] 2760 iterations done. 27600000000 characters processed.
[BWTIncConstructFromPacked] 2770 iterations done. 27700000000 characters processed.
[BWTIncConstructFromPacked] 2780 iterations done. 27800000000 characters processed.
[BWTIncConstructFromPacked] 2790 iterations done. 27900000000 characters processed.
[BWTIncConstructFromPacked] 2800 iterations done. 28000000000 characters processed.
[BWTIncConstructFromPacked] 2810 iterations done. 28100000000 characters processed.
[BWTIncConstructFromPacked] 2820 iterations done. 28200000000 characters processed.
[BWTIncConstructFromPacked] 2830 iterations done. 28300000000 characters processed.
[BWTIncConstructFromPacked] 2840 iterations done. 28400000000 characters processed.
[BWTIncConstructFromPacked] 2850 iterations done. 28500000000 characters processed.
[BWTIncConstructFromPacked] 2860 iterations done. 28600000000 characters processed.
[BWTIncConstructFromPacked] 2870 iterations done. 28700000000 characters processed.
[BWTIncConstructFromPacked] 2880 iterations done. 28800000000 characters processed.
[BWTIncConstructFromPacked] 2890 iterations done. 28900000000 characters processed.
[BWTIncConstructFromPacked] 2900 iterations done. 29000000000 characters processed.
[BWTIncConstructFromPacked] 2910 iterations done. 29100000000 characters processed.
[BWTIncConstructFromPacked] 2920 iterations done. 29200000000 characters processed.
[BWTIncConstructFromPacked] 2930 iterations done. 29300000000 characters processed.
[BWTIncConstructFromPacked] 2940 iterations done. 29400000000 characters processed.
[BWTIncConstructFromPacked] 2950 iterations done. 29500000000 characters processed.
[BWTIncConstructFromPacked] 2960 iterations done. 29600000000 characters processed.
[BWTIncConstructFromPacked] 2970 iterations done. 29700000000 characters processed.
[BWTIncConstructFromPacked] 2980 iterations done. 29800000000 characters processed.
[BWTIncConstructFromPacked] 2990 iterations done. 29900000000 characters processed.
[BWTIncConstructFromPacked] 3000 iterations done. 30000000000 characters processed.
[BWTIncConstructFromPacked] 3010 iterations done. 30100000000 characters processed.
[BWTIncConstructFromPacked] 3020 iterations done. 30200000000 characters processed.
[BWTIncConstructFromPacked] 3030 iterations done. 30300000000 characters processed.
[BWTIncConstructFromPacked] 3040 iterations done. 30400000000 characters processed.
[BWTIncConstructFromPacked] 3050 iterations done. 30500000000 characters processed.
[BWTIncConstructFromPacked] 3060 iterations done. 30600000000 characters processed.
[BWTIncConstructFromPacked] 3070 iterations done. 30700000000 characters processed.
